30_01_2022_11_37_19,Leave,8,9.234375
30_01_2022_11_42_51,AddNewNode,2,1.40625
30_01_2022_11_42_51,AddNewNode,3,1.6875
30_01_2022_11_42_51,AddNewNode,4,1.671875
30_01_2022_11_42_51,AddNewNode,5,2.296875
30_01_2022_11_42_51,AddNewNode,6,15.765625
30_01_2022_11_42_51,AddNewNode,7,15.78125
30_01_2022_11_42_51,AddNewNode,8,5.71875
30_01_2022_11_42_51,AddNewNode,9,6.140625
30_01_2022_11_42_51,AddNewNode,10,7.609375
30_01_2022_11_42_51,Insert,10,5.359375
30_01_2022_11_42_51,Lookup,10,7.03125
30_01_2022_11_42_51,Update,10,5.53125
30_01_2022_11_42_51,Delete,10,4.59375
30_01_2022_11_47_54,AddNewNode,2,1.171875
30_01_2022_11_47_54,AddNewNode,3,1.40625
30_01_2022_11_47_54,AddNewNode,4,1.546875
30_01_2022_11_47_54,AddNewNode,5,1.53125
30_01_2022_11_47_54,AddNewNode,2,1.359375
30_01_2022_11_47_54,AddNewNode,3,2.859375
30_01_2022_11_47_54,AddNewNode,4,1.796875
30_01_2022_11_47_54,AddNewNode,5,2.40625
30_01_2022_11_47_54,AddNewNode,2,1.09375
30_01_2022_11_47_54,AddNewNode,3,2.84375
30_01_2022_11_47_54,AddNewNode,4,1.59375
30_01_2022_11_47_54,AddNewNode,5,1.78125
30_01_2022_11_47_54,AddNewNode,2,1.484375
30_01_2022_11_47_54,AddNewNode,3,1.359375
30_01_2022_11_47_54,AddNewNode,4,1.375
30_01_2022_11_47_54,AddNewNode,5,1.375
30_01_2022_11_47_54,AddNewNode,2,2.21875
30_01_2022_11_47_54,AddNewNode,3,2.203125
30_01_2022_11_47_54,AddNewNode,4,2.484375
30_01_2022_11_47_54,AddNewNode,5,3.171875
30_01_2022_11_47_54,AddNewNode,2,1.921875
30_01_2022_11_47_54,AddNewNode,3,1.921875
30_01_2022_11_47_54,AddNewNode,4,2.40625
30_01_2022_11_47_54,AddNewNode,5,2.359375
30_01_2022_11_47_54,AddNewNode,2,2.171875
30_01_2022_11_47_54,AddNewNode,3,2.046875
30_01_2022_11_47_54,AddNewNode,4,2.25
30_01_2022_11_47_54,AddNewNode,5,2.0625
30_01_2022_11_47_54,AddNewNode,2,1.390625
30_01_2022_11_47_54,AddNewNode,3,1.65625
30_01_2022_11_47_54,AddNewNode,4,1.984375
30_01_2022_11_47_54,AddNewNode,5,2.25
30_01_2022_11_47_54,Insert,5,0.0
30_01_2022_11_47_54,Lookup,5,2.109375
30_01_2022_11_47_54,Update,5,2.0625
30_01_2022_11_47_54,Delete,5,2.421875
30_01_2022_11_47_54,AddNewNode,6,4.703125
30_01_2022_11_47_54,Leave,5,7.6875
30_01_2022_11_47_54,AddNewNode,2,3.0
30_01_2022_11_47_54,AddNewNode,2,2.75
30_01_2022_11_47_54,AddNewNode,3,2.796875
30_01_2022_11_47_54,AddNewNode,4,3.390625
30_01_2022_11_47_54,AddNewNode,5,3.265625
30_01_2022_13_47_55,AddNewNode,2,1.25
30_01_2022_13_47_55,AddNewNode,3,1.5
30_01_2022_13_47_55,AddNewNode,4,1.5
30_01_2022_13_47_55,AddNewNode,5,1.46875
30_01_2022_13_48_17,AddNewNode,2,0.984375
30_01_2022_13_48_17,AddNewNode,3,2.734375
30_01_2022_13_48_17,AddNewNode,4,1.265625
30_01_2022_13_48_17,AddNewNode,5,2.0
30_01_2022_13_48_17,Insert,5,3.0625
30_01_2022_13_48_17,Lookup,5,0.625
30_01_2022_13_48_17,Update,5,3.53125
30_01_2022_13_48_17,Delete,5,0.0
30_01_2022_13_48_17,AddNewNode,6,5.78125
30_01_2022_13_48_17,Leave,5,7.546875
30_01_2022_16_25_43,AddNewNode,2,1.28125
30_01_2022_16_25_43,AddNewNode,3,1.53125
30_01_2022_16_25_43,AddNewNode,4,1.609375
30_01_2022_16_25_43,AddNewNode,5,1.46875
30_01_2022_16_25_43,Insert,5,2.65625
30_01_2022_16_25_43,Lookup,5,3.03125
30_01_2022_16_25_43,Update,5,2.78125
30_01_2022_16_25_43,Delete,5,0.0
30_01_2022_16_25_43,AddNewNode,6,4.9375
30_01_2022_16_45_22,AddNewNode,2,1.25
30_01_2022_16_45_22,AddNewNode,3,1.171875
